#,Question,Expected,,,,
1,Did Ray Kroc steal McDonald's?,Ray Kroc,,,,
2,What is on McDonald's $1 $2 $3 menu?,menu / $1 $2 $3 menu,,,,
3,Are McDonald's Pokemon cards worth anything?,Pokemon / Pokemon cards ,,,,
4,What is the oldest McDonald's Happy Meal toy?,Happy Meal / Happy Meal toy / toy,,,,
5,What is the $5 meal deal at McDonald's?,meal deal / $5 meal deal,,,,
6,What is on the $1 $2 $3 menu at McDonald's?,menu / $1 $2 $3 menu,,,,
7,How much does a McDonald's franchise owner make a year?,franchise / franchise owner,,,,
8,Did McDonald's stop making toys Happy Meal?,toys / toys Happy Meal / Happy Meal,,,,
9,Is Boston Market owned by McDonald's?,Boston Market,,,,
10,What comes in the McDonald's bundle box?,bundle box / box,,,,
11,Is Donatos owned by McDonald's?,Donatos,,,,
12,Does McDonald's have a Veterans Day special?,Veterans Day / Veterans,,,,
13,Can a 14 year old work at McDonald's?,14 year old / 14,,,,
14,Is McDonald's fish sandwich real fish?,fish sandwich / fish,,,,
15,Is McDonald's giving veterans free meals?,veterans,,,,
17,Are McDonald's smoothies healthy?,smoothies,,,,
18,Is McDonald's paying $21 an hour?,$21 an hour / $21 / paying,,,,
19,Does McDonald's have breakfast all day 2021?,breakfast,,,,
20,Where is the oldest McDonald's in the UK?,UK,,,,
21,Does McDonald's pay $15 an hour?,$15 an hour / pay / $15,,,,
22,Who is in the new McDonald's commercial?,commercial,,,,
23,Is McDonald's paying $20 an hour?,$20 an hour/ paying / $20,,,,
24,Is McDonald's Holo Pikachu rare?,Holo Pikachu,,,,
25,What time does McDonald's stop serving breakfast?,breakfast,,,,
27,What is a McNasty at McDonald's?,McNasty,,,,
28,Is McDonald's doing anything for Mother's Day?,Mother's Day,,,,
29,What brand of chicken nuggets does McDonald's use?,chicken nuggets / chicken / nuggets,,,,
30,What brand of English muffins does McDonald's use?,English muffins / muffins,,,,
31,Is McDonald's bringing back old toys?,old toys / toys,,,,
32,What is the nicest McDonald's in the world?,world,,,,
33,What is the McDonald's number 1?,number 1 / 1,,,,
34,Did McDonald's stop all day breakfast 2021?,breakfast / all day breakfast,,,,
35,What comes in the McDonald's 15 dollar box?,15 dollar box / 15 dollar / box,,,,
36,Why did McDonald's discontinue bagels?,bagels,,,,
37,Is McDonald's lobster roll real lobster?,lobster roll / lobster,,,,
38,Why did McDonald's stop using Ronald?,Ronald,,,,
39,Did McDonald's prices go up 2021?,prices / go up,,,,
40,Is Subway owned by McDonald's?,Subway,,,,
41,What is the biggest McDonald's in the UK?,UK,,,,
42,Does McDonald's have boba?,boba,,,,
43,Does McDonald's app give free food?,app / free food,,,,
44,How does McDonald's make their eggs for egg Mcmuffins?,eggs / egg Mcmuffins,,,,
45,Do McDonald's frappes have coffee in them?,frappes / coffee,,,,
46,Are McDonald's toys worth any money?,toys,,,,
47,Where is the most beautiful McDonald's in the world?,world,,,,
48,Are Ty Beanie Babies from McDonald's worth anything?,Beanie Babies,,,,